year,document,status,entry,description,unit,value
2010,def2011,actual,gdp,GrossDomesticProduct,k euro,1548816
2011,def2011,budget,gdp,GrossDomesticProduct,k euro,1593314
2012,def2011,budget,gdp,GrossDomesticProduct,k euro,1642432
2013,def2011,budget,gdp,GrossDomesticProduct,k euro,1696995
2014,def2011,budget,gdp,GrossDomesticProduct,k euro,1755013
2010,def2011,actual,phe,PublicHealthExpenditure,k euro,113457
2011,def2011,budget,phe,PublicHealthExpenditure,k euro,114836
2012,def2011,budget,phe,PublicHealthExpenditure,k euro,117391
2013,def2011,budget,phe,PublicHealthExpenditure,k euro,122102
2014,def2011,budget,phe,PublicHealthExpenditure,k euro,126512
2010,def2011,actual,tpe,TotalPublicExpenditure,k euro,793513
2011,def2011,budget,tpe,TotalPublicExpenditure,k euro,801855
2012,def2011,budget,tpe,TotalPublicExpenditure,k euro,813042
2013,def2011,budget,tpe,TotalPublicExpenditure,k euro,836525
2014,def2011,budget,tpe,TotalPublicExpenditure,k euro,860789
2010,def2011,actual,pnhe,PublicNonHealthExpenditure,k euro,680056
2011,def2011,budget,pnhe,PublicNonHealthExpenditure,k euro,687019
2012,def2011,budget,pnhe,PublicNonHealthExpenditure,k euro,695651
2013,def2011,budget,pnhe,PublicNonHealthExpenditure,k euro,714423
2014,def2011,budget,pnhe,PublicNonHealthExpenditure,k euro,734277
2010,def2011,actual,t,TotalPublicExpenditurePerCentOfGDP,percent,51.2335
2011,def2011,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,50.3262
2012,def2011,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,49.5023
2013,def2011,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,49.2945
2014,def2011,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,49.0474
2010,def2011,actual,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,43.9081
2011,def2011,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,43.1189
2012,def2011,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,42.3549
2013,def2011,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,42.0993
2014,def2011,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,41.8388
2010,def2011,actual,h,PublicHealthExpenditurePerCentOfGDP,percent,7.325402114
2011,def2011,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,7.207367788
2012,def2011,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,7.14738875
2013,def2011,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,7.195189143
2014,def2011,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,7.208607572
2010,def2014,actual,gdp,GrossDomesticProduct,k euro,1551886
2011,def2014,actual,gdp,GrossDomesticProduct,k euro,1579946
2012,def2014,actual,gdp,GrossDomesticProduct,k euro,1566912
2013,def2014,actual,gdp,GrossDomesticProduct,k euro,1560024
2014,def2014,budget,gdp,GrossDomesticProduct,k euro,1587053
2015,def2014,budget,gdp,GrossDomesticProduct,k euro,1626750
2016,def2014,budget,gdp,GrossDomesticProduct,k euro,1676571
2017,def2014,budget,gdp,GrossDomesticProduct,k euro,1731027
2018,def2014,budget,gdp,GrossDomesticProduct,k euro,1788900
2010,def2014,actual,phe,PublicHealthExpenditure,k euro,112526
2011,def2014,actual,phe,PublicHealthExpenditure,k euro,111094
2012,def2014,actual,phe,PublicHealthExpenditure,k euro,109611
2013,def2014,actual,phe,PublicHealthExpenditure,k euro,109254
2014,def2014,budget,phe,PublicHealthExpenditure,k euro,111474
2015,def2014,budget,phe,PublicHealthExpenditure,k euro,113703
2016,def2014,budget,phe,PublicHealthExpenditure,k euro,116149
2017,def2014,budget,phe,PublicHealthExpenditure,k euro,118680
